Wall time,Step,Value
1551686275.5844562,20525,26.875
1551686516.056481,20565,30.125
1551686636.053649,20585,27.875
1551686756.2892077,20605,29.125
1551686876.374151,20625,31.625
1551686996.7395234,20645,28.875
1551687116.2717452,20665,35.25
1551687236.2669547,20684,33.75
1551687355.6230612,20704,23.75
1551687475.6762848,20724,28.0
1551687595.8746262,20744,22.125
1551687835.9329593,20784,22.75
1551687956.2291877,20804,30.375
1551688076.074782,20824,37.625
1551688196.778858,20844,30.75
1551688436.4319935,20884,28.875
1551688556.4128032,20904,27.75
1551688676.1249917,20924,33.75
1551688796.560957,20944,26.375
1551688915.8035183,20963,26.25
1551689035.578535,20983,28.25
1551689275.699653,21023,32.875
1551689396.1899638,21043,32.5
1551689516.0780575,21063,38.25
1551689636.1363323,21083,36.0
1551689756.2658741,21103,31.375
1551690236.1300678,21183,40.125
1551690356.4305308,21203,37.5
1551690476.2792292,21223,28.25
1551690596.6082218,21243,33.25
1551690716.2639923,21262,34.0
1551690835.9500885,21282,32.875
1551690955.785858,21302,29.25
1551691075.4839664,21322,44.75
1551691195.9557464,21342,35.5
1551691315.6895823,21362,34.25
1551691435.8737397,21382,17.25
1551691556.1047032,21402,42.0
1551691676.2787166,21422,40.0
1551691796.6840456,21442,28.625
1551691916.3835783,21462,29.625
